,0,1,2
0,1,(Measured) Profit is Not Welfare: Evidence from an Experiment on Bundling Microcredit and Insurance,Abhijit Banerjee;Esther Duflo;Richard Hornbeck
1,1,(Measured) Profit is Not Welfare: Evidence from an Experiment on Bundling Microcredit and Insurance,Abhijit Banerjee;Esther Duflo;Richard Hornbeck
2,3,"'Can't Get Enough' Prejudice, Contact Jobs and the Racial Wage Gap in the US",Morgane Laouénan
3,4,A Closer Look at the Employment Impact of the Americans with Disabilities Act,Julie L. Hotchkiss
4,5,A Behavioral Approach to Increasing Head Start Attendance,Susan E. Mayer;Sebastian Gallegos;Ariel Kalil
5,6,(De)Centralization and voter turnout: theory and evidence from German municipalities,Claus Michelsen;Peter Boenisch;Benny Geys
6,7,A Behavioral Model of Simultaneous Borrowing and Saving,Karna Basu
7,7,A Behavioral Model of Simultaneous Borrowing and Saving,Karna Basu
8,8,A BPEA symposium on Brexit and the global economyA BPEA symposium on Brexit and the global economy,Donald Kohn;Maurice Obstfeld;John Van Reenen;Thomas Philippon
9,9,"$1,000 Cash Back: The Pass-Through of Auto Manufacturer Promotions",Meghan Busse;Jorge Silva-Risso;Florian Zettelmeyer
10,10,A Contribution to Health-Capital Theory,Titus Galama
11,11,A field experiment on the malleability of willingness to compete,Noemi Peter
12,13,A symposium on business tax reformA symposium on business tax reform,Alan Auerbach;Martin Feldstein;Gita Gopinath;James Hines
13,14,A Delegation-Based Theory of Expertise,Attila Ambrus;Volodymyr Baranovskyi;Aaron Kolb
14,15,A Dynamic Incentive-Based Argument for Conditional Transfers,Dilip Mookherjee;Debraj Ray
15,16,A Little Now for a Lot Later,C. Kirabo Jackson
16,17,'Even' After Access to Financial Services? Ricocheting Gender Equations,Shoba Arun;Samuel Annim;Thankom Gopinath Arun
17,20,A Lab-in-the-field experiment on Community Decision-Making in Bangladesh,Selene Ghisolfi;Serena Cocciolo
18,21,"A General Equilibrium Theory of College with Education Subsidies, In-School Labor Supply, and Borrowing Constraints",Carlos Garriga;Mark P. Keightley
19,22,(F)Lexicographic shortlist method,Christopher Kops
20,23,A Friend in Need is a Friend Indeed: Theory and Evidence on the (Dis)Advantages of Informal Loans,Alexander Karaivanov;Anke Kessler
21,24,'Acting Wife': Marriage Market Incentives and Labor Market Investments,Leonardo Bursztyn;Thomas Fujiwara;Amanda Pallais
22,24,'Acting Wife': Marriage Market Incentives and Labor Market Investments,Leonardo Bursztyn;Thomas Fujiwara;Amanda Pallais
23,25,150 Years Of Boom And Bust: What Drives Mineral Commodity Prices?,Martin Stuermer
24,26,Along the watchtower: The rise and fall of U.S. low-skilled immigrationAlong the watchtower: The rise and fall of U.S. low-skilled immigration,Gordon H. Hanson;Chen Liu;Craig Mcintosh
25,27,A multi-sensory tutoring program for students at-risk of reading difficulties in kindergarten and first grade: Evidence from a randomized field experiment,Jens Dietrichson;Anna Aldenius Isaksson;Martin Bøg
26,28,A Gender-Based Theory of the Origin of the Caste System of India,Chris Bidner;Mukesh Eswaran
27,28,A Gender-Based Theory of the Origin of the Caste System of India,Chris Bidner;Mukesh Eswaran
28,28,A Gender-Based Theory of the Origin of the Caste System of India,Chris Bidner;Mukesh Eswaran
29,29,'High' Achievers? Cannabis Access and Academic Performance,Olivier Marie;Ulf Zölitz
30,29,'High' Achievers? Cannabis Access and Academic Performance,Olivier Marie;Ulf Zölitz
31,30,(Dis)organization and Success in an Economics MOOC,Abhijit V. Banerjee;Esther Duflo
32,31,"(In)determinacy, increasing returns, and the optimality of the Friedman rule in an endogenously growing open economy",Ching-Chong Lai;Chi-Ting Chin
33,33,A tractable model of monetary exchange with ex-post heterogeneity,Guillaume Rocheteau;Pierre-Olivier Weill;Tsz-Nga Wong
34,34,A Note on “The Longitudinal Structure of Earnings Losses among Work-Limited Disabled Workers”,Wallace K. C. Mok;Bruce D. Meyer;Kerwin Kofi Charles;Alexandra C. Achen
35,35,Have big banks gotten safer?Have big banks gotten safer?,Natasha Sarin;Lawrence H. Summers
36,36,(Good and Bad) Reputation for a Servant of Two Masters,Heski Bar-Isaac;Joyee Deb
37,37,"A Little Good is Good Enough: Ethical Consumption, Cheap Excuses, and Moral Self-Licensing",Jannis Engel;Nora Szech
